time_stamp,daily_mean_25pm,daily_sensor_count
2019-05-09,1.23,4
2019-05-10,0.91,5
2019-05-11,1.11,5
2019-05-12,2.94,5
2019-05-13,3.12,4
2019-05-14,1.39,4
2019-05-15,1.81,5
2019-05-16,0.59,4
2019-05-17,0.19,4
2019-05-18,0.74,4
2019-05-19,0.34,4
2019-05-20,0.44,4
2019-05-21,0.57,4
2019-05-22,0.22,4
2019-05-23,0.32,4
2019-05-24,1.19,5
2019-05-25,1.88,6
2019-05-26,1.88,5
2019-05-27,0.61,4
2019-05-28,1.25,6
2019-05-29,2.11,6
2019-05-30,1.97,6
2019-05-31,2.22,7
2019-06-01,1.93,6
2019-06-02,2.55,6
2019-06-03,2.9,6
2019-06-04,4.52,6
2019-06-05,4.72,7
2019-06-06,2.44,6
2019-06-07,0.57,5
2019-06-08,0.4,5
2019-06-09,0.38,5
2019-06-10,0.84,5
2019-06-11,1.61,6
2019-06-12,3.11,7
2019-06-13,4.86,7
2019-06-14,4.88,6
2019-06-15,5.85,7
2019-06-16,2.92,6
2019-06-17,3.14,7
2019-06-18,1.78,7
2019-06-19,2.73,7
2019-06-20,2.7,7
2019-06-21,1.65,5
2019-06-22,0.77,6
2019-06-23,1.15,5
2019-06-24,1.72,6
2019-06-25,0.96,6
2019-06-26,0.57,5
2019-06-27,0.86,5
2019-06-28,0.73,5
2019-06-29,0.86,5
2019-06-30,1.55,7
2019-07-01,2.27,6
2019-07-02,1.31,5
2019-07-03,1.53,5
2019-07-04,3.22,6
2019-07-05,5.32,6
2019-07-06,4.8,7
2019-07-07,6.77,7
2019-07-08,2.59,7
2019-07-09,1.11,7
2019-07-10,2.6,7
2019-07-11,2.69,7
2019-07-12,1.71,7
2019-07-13,1.07,7
2019-07-14,0.61,6
2019-07-15,1.26,5
2019-07-16,1.02,4
2019-07-17,3.62,6
2019-07-18,1.62,6
2019-07-19,4.08,6
2019-07-20,2.91,6
2019-07-21,4.23,6
2019-07-22,2.0,6
2019-07-23,1.83,6
2019-07-24,2.54,6
2019-07-25,2.49,5
2019-07-26,2.12,6
2019-07-27,3.42,5
2019-07-28,3.35,5
2019-07-29,4.01,6
2019-07-30,3.25,5
2019-07-31,1.75,6
2019-08-01,2.35,6
2019-08-02,1.97,6
2019-08-03,2.53,5
2019-08-04,3.13,5
2019-08-05,1.74,4
2019-08-06,1.94,5
2019-08-07,2.19,6
2019-08-08,2.94,5
2019-08-09,2.66,5
2019-08-10,2.46,5
2019-08-11,1.9,4
2019-08-12,2.8,5
2019-08-13,3.11,5
2019-08-14,2.4,6
2019-08-15,2.68,5
2019-08-16,3.32,5
2019-08-17,5.53,5
2019-08-18,4.09,5
2019-08-19,2.64,6
2019-08-20,2.69,6
2019-08-21,1.91,6
2019-08-22,1.77,7
2019-08-23,1.73,7
2019-08-24,3.04,7
2019-08-25,2.15,6
2019-08-26,2.22,7
2019-08-27,2.52,7
2019-08-28,4.18,7
2019-08-29,1.98,7
2019-08-30,1.53,6
2019-08-31,1.05,6
2019-09-01,3.36,6
2019-09-02,1.85,6
2019-09-03,1.79,7
2019-09-04,1.71,7
2019-09-05,2.79,7
2019-09-06,2.44,5
2019-09-07,1.58,5
2019-09-08,2.01,6
2019-09-09,1.27,4
2019-09-10,1.27,6
2019-09-11,2.06,6
2019-09-12,2.53,6
2019-09-13,3.02,6
2019-09-14,2.78,6
2019-09-15,2.67,6
2019-09-16,0.95,4
2019-09-17,0.96,4
2019-09-18,0.82,5
2019-09-19,0.77,6
2019-09-20,1.24,7
2019-09-21,1.42,6
2019-09-22,1.77,7
2019-09-23,1.59,7
2019-09-24,0.87,6
2019-09-25,0.8,6
2019-09-26,1.05,6
2019-09-27,2.21,7
2019-09-28,1.43,6
2019-09-29,0.86,6
2019-09-30,0.59,6
2019-10-01,1.12,5
2019-10-02,1.61,6
2019-10-03,1.36,6
2019-10-04,1.02,5
2019-10-05,1.68,6
2019-10-06,1.38,6
2019-10-07,6.32,7
2019-10-08,10.0,7
2019-10-09,3.42,6
2019-10-10,0.68,6
2019-10-11,1.14,7
2019-10-12,13.31,7
2019-10-13,22.31,6
2019-10-14,11.45,7
2019-10-15,6.56,7
2019-10-16,3.79,6
2019-10-17,3.4,7
2019-10-18,0.88,6
2019-10-19,1.27,6
2019-10-20,1.19,7
2019-10-21,2.04,7
2019-10-22,1.38,6
2019-10-23,1.06,7
2019-10-24,0.49,5
2019-10-25,0.77,6
2019-10-26,1.07,6
2019-10-27,0.78,6
2019-10-28,0.55,6
2019-10-29,0.91,7
2019-10-30,0.95,6
2019-10-31,1.85,6
2019-11-01,1.81,6
2019-11-02,1.8,6
2019-11-03,2.19,6
2019-11-04,1.88,7
2019-11-05,1.54,7
2019-11-06,0.91,5
2019-11-07,1.24,7
2019-11-08,1.75,7
2019-11-09,1.61,7
2019-11-10,1.88,6
2019-11-11,1.78,6
2019-11-12,1.97,7
2019-11-13,2.01,7
2019-11-14,4.98,7
2019-11-15,1.21,7
2019-11-16,1.76,7
2019-11-17,2.11,7
2019-11-18,1.95,7
2019-11-19,1.24,7
2019-11-20,0.74,7
2019-11-21,1.16,7
2019-11-22,2.09,7
2019-11-23,3.33,7
2019-11-24,4.27,7
2019-11-25,1.87,7
2019-11-26,0.7,6
2019-11-27,0.66,7
2019-11-28,0.83,6
2019-11-29,0.73,7
2019-11-30,1.03,7
2019-12-01,1.39,6
2019-12-02,0.87,7
2019-12-03,2.61,7
2019-12-04,4.85,7
2019-12-05,0.92,7
2019-12-06,4.91,7
2019-12-07,0.35,5
2019-12-08,0.38,6
2019-12-09,1.54,7
2019-12-10,2.04,7
2019-12-11,1.71,6
2019-12-12,0.47,5
2019-12-13,0.63,6
2019-12-14,0.39,6
2019-12-15,0.49,7
2019-12-16,0.67,6
2019-12-17,3.34,7
2019-12-18,4.43,7
2019-12-19,0.91,7
2019-12-20,1.22,7
2019-12-21,0.37,6
2019-12-22,0.46,6
2019-12-23,0.69,7
2019-12-24,0.97,7
2019-12-25,0.86,7
2019-12-26,0.86,7
2019-12-27,0.91,7
2019-12-28,1.61,7
2019-12-29,1.7,7
2019-12-30,1.59,7
2019-12-31,0.91,7
2020-01-01,2.38,7
2020-01-02,1.67,7
2020-01-03,1.84,7
2020-01-04,0.72,6
2020-01-05,0.85,6
2020-01-06,1.15,7
2020-01-07,0.84,6
2020-01-08,0.95,6
2020-01-09,1.51,7
2020-01-10,5.01,7
2020-01-11,1.58,7
2020-01-12,0.77,7
2020-01-13,0.46,6
2020-01-14,0.23,6
2020-01-15,0.47,5
2020-01-16,0.56,7
2020-01-17,0.17,5
2020-01-18,1.8,7
2020-01-19,3.13,7
2020-01-20,2.81,7
2020-01-21,0.63,6
2020-01-22,0.32,7
2020-01-23,2.17,7
2020-01-24,1.44,5
2020-01-25,1.32,7
2020-01-26,0.91,6
2020-01-27,0.74,7
2020-01-28,0.38,6
2020-01-29,0.53,6
2020-01-30,1.18,7
2020-01-31,1.63,7
2020-02-01,2.2,7
2020-02-02,2.15,7
2020-02-03,0.29,6
2020-02-04,0.29,7
2020-02-05,0.85,7
2020-02-06,1.16,6
2020-02-07,1.18,7
2020-02-08,1.26,7
2020-02-09,0.83,5
2020-02-10,0.18,6
2020-02-11,0.4,5
2020-02-12,0.72,5
2020-02-13,1.56,7
2020-02-14,1.92,7
2020-02-15,2.26,7
2020-02-16,1.35,7
2020-02-17,2.34,7
2020-02-18,3.09,7
2020-02-19,2.39,7
2020-02-20,1.7,7
2020-02-21,1.96,6
2020-02-22,1.81,7
2020-02-23,1.83,6
2020-02-24,1.29,7
2020-02-25,2.4,7
2020-02-26,3.73,7
2020-02-27,6.59,7
2020-02-28,4.11,7
2020-02-29,3.34,7
2020-03-01,0.55,6
2020-03-02,0.26,5
2020-03-03,0.69,7
2020-03-04,1.81,7
2020-03-05,3.23,7
2020-03-06,3.32,6
2020-03-07,1.74,7
2020-03-08,0.97,6
2020-03-09,1.33,7
2020-03-10,1.39,7
2020-03-11,0.96,7
2020-03-12,3.24,7
2020-03-13,2.59,7
2020-03-14,1.34,7
2020-03-15,0.42,5
2020-03-16,0.52,5
2020-03-17,0.35,5
2020-03-18,0.47,5
2020-03-19,0.41,4
2020-03-20,0.98,6
2020-03-21,1.06,7
2020-03-22,1.24,7
2020-03-23,1.05,7
2020-03-24,0.62,6
2020-03-25,0.38,6
2020-03-26,0.57,6
2020-03-27,0.68,6
2020-03-28,1.51,7
2020-03-29,0.63,6
2020-03-30,1.15,6
2020-03-31,0.75,5
2020-04-01,1.6,6
2020-04-02,1.04,5
2020-04-03,0.89,6
2020-04-04,0.97,5
2020-04-05,0.54,6
2020-04-06,0.86,6
2020-04-07,0.84,6
2020-04-08,0.74,6
2020-04-09,0.85,7
2020-04-10,0.58,6
2020-04-11,1.56,6
2020-04-12,1.92,6
2020-04-13,1.54,6
2020-04-14,1.19,7
2020-04-15,1.22,7
2020-04-16,1.26,7
2020-04-17,0.89,7
2020-04-18,1.54,7
2020-04-19,1.55,8
2020-04-20,2.0,8
2020-04-21,6.86,10
2020-04-22,3.33,10
2020-04-23,1.53,9
2020-04-24,1.76,7
2020-04-25,2.18,7
2020-04-26,1.21,7
2020-04-27,1.15,8
2020-04-28,1.66,7
2020-04-29,1.88,8
2020-04-30,1.26,8
2020-05-01,1.86,7
2020-05-02,1.94,7
2020-05-03,0.91,6
2020-05-04,1.31,7
2020-05-05,2.38,7
2020-05-06,1.98,6
2020-05-07,6.72,8
2020-05-08,6.94,8
2020-05-09,2.28,8
2020-05-10,3.24,8
2020-05-11,2.89,8
2020-05-12,1.7,8
2020-05-13,1.26,7
2020-05-14,1.13,7
2020-05-15,0.94,7
2020-05-16,1.97,7
2020-05-17,1.18,6
2020-05-18,0.73,6
2020-05-19,0.51,8
2020-05-20,0.68,7
2020-05-21,1.52,8
2020-05-22,1.98,7
2020-05-23,0.75,5
2020-05-24,1.08,6
2020-05-25,1.03,6
2020-05-26,1.75,7
2020-05-27,1.22,6
2020-05-28,0.99,6
2020-05-29,1.09,7
2020-05-30,3.51,6
2020-05-31,1.7,5
2020-06-01,1.73,6
2020-06-02,1.78,6
2020-06-03,3.3,6
2020-06-04,2.43,6
2020-06-05,2.29,6
2020-06-06,1.07,7
2020-06-07,1.53,7
2020-06-08,0.42,6
2020-06-09,1.04,7
2020-06-10,1.51,7
2020-06-11,5.01,8
2020-06-12,1.77,6
2020-06-13,0.76,7
2020-06-14,0.98,7
2020-06-15,0.95,6
2020-06-16,0.74,7
2020-06-17,0.51,7
2020-06-18,0.29,5
2020-06-19,0.71,6
2020-06-20,1.78,6
2020-06-21,2.04,7
2020-06-22,2.62,7
2020-06-23,2.9,7
2020-06-24,3.72,7
2020-06-25,4.58,6
2020-06-26,3.21,7
2020-06-27,4.12,8
2020-06-28,1.55,7
2020-06-29,1.46,7
2020-06-30,1.11,7
2020-07-01,5.43,8
2020-07-02,3.6,9
2020-07-03,3.01,7
2020-07-04,1.83,8
2020-07-05,1.76,7
2020-07-06,1.87,7
2020-07-07,0.98,7
2020-07-08,1.88,7
2020-07-09,2.31,7
2020-07-10,2.41,7
2020-07-11,2.36,7
2020-07-12,1.7,7
2020-07-13,1.94,7
2020-07-14,2.14,7
2020-07-15,2.49,8
2020-07-16,3.78,8
2020-07-17,4.23,8
2020-07-18,3.95,7
2020-07-19,5.08,8
2020-07-20,14.38,9
2020-07-21,10.67,9
2020-07-22,9.93,9
2020-07-23,4.44,7
2020-07-24,5.06,9
2020-07-25,5.28,8
2020-07-26,5.99,8
2020-07-27,3.32,8
2020-07-28,4.24,8
2020-07-29,3.96,8
2020-07-30,4.14,8
2020-07-31,7.42,9
2020-08-01,2.19,9
2020-08-02,2.43,9
2020-08-03,6.46,9
2020-08-04,3.04,8
2020-08-05,1.37,6
2020-08-06,0.76,7
2020-08-07,3.9,9
2020-08-08,3.62,9
2020-08-09,4.26,9
2020-08-10,4.56,9
2020-08-11,2.39,8
2020-08-12,6.27,8
2020-08-13,2.18,9
2020-08-14,3.43,9
2020-08-15,3.84,9
2020-08-16,2.67,9
2020-08-17,18.01,11
2020-08-18,18.4,11
2020-08-19,49.3,10
2020-08-20,107.0,4
2020-08-21,70.59,7
2020-08-22,48.9,13
2020-08-23,61.76,10
2020-08-24,35.63,13
2020-08-25,45.17,14
2020-08-26,25.14,13
2020-08-27,12.14,14
2020-08-28,26.97,16
2020-08-29,28.34,15
2020-08-30,40.09,13
2020-08-31,55.52,15
2020-09-01,22.96,16
2020-09-02,5.02,18
2020-09-03,22.47,17
2020-09-04,19.14,23
2020-09-05,19.69,21
2020-09-06,17.2,21
2020-09-07,11.79,21
2020-09-08,31.86,20
2020-09-09,1.25,20
2020-09-10,26.3,25
2020-09-11,51.04,19
2020-09-12,50.29,18
2020-09-13,52.89,16
2020-09-14,50.82,18
2020-09-15,69.16,17
2020-09-16,89.1,12
2020-09-17,73.13,18
2020-09-18,39.12,22
2020-09-19,13.48,25
2020-09-20,17.71,24
2020-09-21,38.87,26
2020-09-22,24.79,26
2020-09-23,2.98,28
2020-09-24,1.17,27
2020-09-25,3.53,32
2020-09-26,3.48,32
2020-09-27,3.99,31
2020-09-28,2.55,30
2020-09-29,6.3,33
2020-09-30,33.5,32
2020-10-01,49.73,30
2020-10-02,7.98,38
2020-10-03,10.69,39
2020-10-04,29.82,36
2020-10-05,11.69,40
2020-10-06,19.5,40
2020-10-07,16.13,41
2020-10-08,11.9,42
2020-10-09,11.18,41
2020-10-10,8.3,41
2020-10-11,2.02,41
2020-10-12,1.16,38
