Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2021 Q3,2,7,"1,249","$1,495 ",$1.20 ,1.70%,1490.00,$1.19 ,1.70%,0.30%,0,0.30%,-0.10%,7,99.70%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q2,2,7,"1,249","$1,488 ",$1.19 ,1.60%,1483.00,$1.19 ,1.60%,0.30%,0,0.30%,-0.20%,7,99.70%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q1,2,7,"1,249","$1,481 ",$1.19 ,1.50%,1476.00,$1.18 ,1.50%,0.30%,0,0.30%,-0.30%,7,99.70%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q4,2,7,"1,249","$1,474 ",$1.18 ,1.50%,1470.00,$1.18 ,1.60%,0.30%,0,0.30%,-0.40%,7,99.70%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q3,2,7,"1,249","$1,469 ",$1.18 ,1.80%,1465.00,$1.17 ,1.80%,0.30%,0,0.40%,-0.30%,7,99.60%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q2,2,7,"1,249","$1,464 ",$1.17 ,1.70%,1459.00,$1.17 ,1.70%,0.30%,0,0.50%,-0.10%,7,99.50%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q1,2,7,"1,249","$1,459 ",$1.17 ,1.80%,1455.00,$1.16 ,1.80%,0.30%,0,0.70%,0.20%,7,99.30%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q4,2,7,"1,249","$1,452 ",$1.16 ,1.70%,1447.00,$1.16 ,1.70%,0.30%,0,0.70%,0.20%,7,99.30%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q3,2,7,"1,249","$1,444 ",$1.16 ,1.60%,1439.00,$1.15 ,1.60%,0.30%,0,0.70%,0.10%,7,99.30%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q2,2,7,"1,249","$1,439 ",$1.15 ,1.90%,1434.00,$1.15 ,1.90%,0.30%,0,0.50%,-0.10%,7,99.50%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q1,2,7,"1,249","$1,434 ",$1.15 ,2.10%,1429.00,$1.14 ,2.20%,0.30%,0,0.40%,-0.20%,7,99.60%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q4,2,7,"1,249","$1,428 ",$1.14 ,2.40%,1424.00,$1.14 ,2.40%,0.30%,0,0.50%,-0.10%,7,99.50%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q3,2,7,"1,249","$1,421 ",$1.14 ,2.50%,1416.00,$1.13 ,2.50%,0.30%,0,0.60%,0.20%,7,99.40%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q2,2,7,"1,249","$1,412 ",$1.13 ,2.80%,1408.00,$1.13 ,2.80%,0.30%,0,0.70%,0.00%,7,99.30%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q1,2,7,"1,249","$1,404 ",$1.12 ,2.90%,1399.00,$1.12 ,3.00%,0.30%,0,0.70%,-0.50%,7,99.30%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q4,2,7,"1,249","$1,395 ",$1.12 ,3.10%,1390.00,$1.11 ,3.10%,0.30%,0,0.60%,-1.00%,7,99.40%,1.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q3,2,7,"1,249","$1,386 ",$1.11 ,3.20%,1381.00,$1.11 ,3.30%,0.30%,0,0.40%,-1.50%,7,99.60%,1.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q2,2,7,"1,249","$1,373 ",$1.10 ,3.20%,1369.00,$1.10 ,3.30%,0.30%,0,0.70%,-1.70%,7,99.30%,1.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q1,2,7,"1,249","$1,364 ",$1.09 ,3.50%,1359.00,$1.09 ,3.60%,0.40%,0,1.10%,-1.70%,7,98.90%,1.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2016 Q4,2,7,"1,249","$1,353 ",$1.08 ,3.60%,1348.00,$1.08 ,3.70%,0.40%,0,1.60%,-1.70%,7,98.40%,1.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2016 Q3,2,7,"1,249","$1,342 ",$1.07 ,3.40%,1337.00,$1.07 ,3.50%,0.40%,0,2.00%,-1.60%,7,98.00%,1.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2016 Q2,2,7,"1,249","$1,331 ",$1.07 ,3.50%,1325.00,$1.06 ,3.70%,0.40%,0,2.40%,-1.80%,7,97.60%,1.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2016 Q1,2,7,"1,249","$1,318 ",$1.06 ,3.50%,1312.00,$1.05 ,3.70%,0.50%,0,2.80%,-2.20%,7,97.20%,2.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2015 Q4,2,7,"1,249","$1,307 ",$1.05 ,3.40%,1300.00,$1.04 ,3.60%,0.50%,0,3.30%,-2.50%,7,96.70%,2.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2015 Q3,2,7,"1,249","$1,298 ",$1.04 ,3.60%,1291.00,$1.03 ,3.80%,0.50%,0,3.50%,-2.20%,7,96.50%,2.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2015 Q2,2,7,"1,249","$1,286 ",$1.03 ,3.30%,1278.00,$1.02 ,3.40%,0.60%,0,4.20%,-1.30%,7,95.80%,1.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2015 Q1,2,7,"1,249","$1,274 ",$1.02 ,2.40%,1265.00,$1.01 ,2.30%,0.60%,0,5.00%,0.60%,7,95.00%,-0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q4,2,7,"1,249","$1,263 ",$1.01 ,1.80%,1255.00,$1.00 ,1.60%,0.70%,0,5.80%,2.10%,7,94.20%,-2.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q3,2,7,"1,249","$1,253 ",$1.00 ,1.00%,1244.00,$1.00 ,0.90%,0.70%,0,5.80%,2.00%,7,94.20%,-2.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q2,2,7,"1,249","$1,245 ",$1.00 ,0.50%,1237.00,$0.99 ,0.40%,0.70%,0,5.50%,1.60%,7,94.50%,-1.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q1,2,7,"1,249","$1,244 ",$1.00 ,0.50%,1236.00,$0.99 ,0.50%,0.60%,0,4.40%,0.50%,7,95.60%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q4,2,7,"1,249","$1,241 ",$0.99 ,0.60%,1235.00,$0.99 ,0.60%,0.50%,0,3.70%,-0.20%,7,96.30%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q3,2,7,"1,249","$1,240 ",$0.99 ,0.80%,1233.00,$0.99 ,0.80%,0.60%,0,3.80%,0.00%,7,96.20%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q2,2,7,"1,249","$1,239 ",$0.99 ,0.80%,1232.00,$0.99 ,0.80%,0.60%,0,3.80%,0.40%,7,96.20%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q1,2,7,"1,249","$1,237 ",$0.99 ,0.90%,1230.00,$0.98 ,0.80%,0.60%,0,3.90%,0.80%,7,96.10%,-0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q4,2,7,"1,249","$1,234 ",$0.99 ,0.70%,1227.00,$0.98 ,0.60%,0.60%,0,3.90%,1.10%,7,96.10%,-1.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q3,2,7,"1,249","$1,231 ",$0.99 ,0.50%,1224.00,$0.98 ,0.40%,0.60%,0,3.80%,1.20%,7,96.20%,-1.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q2,2,7,"1,249","$1,229 ",$0.98 ,0.40%,1222.00,$0.98 ,0.30%,0.50%,0,3.50%,1.00%,7,96.50%,-1.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q1,2,7,"1,249","$1,227 ",$0.98 ,0.30%,1220.00,$0.98 ,0.20%,0.50%,0,3.10%,0.50%,7,96.90%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2011 Q4,2,7,"1,249","$1,226 ",$0.98 ,0.50%,1220.00,$0.98 ,0.50%,0.50%,0,2.80%,0.10%,7,97.20%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2011 Q3,2,7,"1,249","$1,225 ",$0.98 ,0.70%,1219.00,$0.98 ,0.70%,0.50%,0,2.60%,-0.30%,7,97.40%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2011 Q2,2,7,"1,249","$1,224 ",$0.98 ,1.30%,1219.00,$0.98 ,1.30%,0.50%,0,2.50%,-0.70%,7,97.50%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2011 Q1,2,7,"1,249","$1,224 ",$0.98 ,1.80%,1218.00,$0.97 ,1.90%,0.50%,0,2.60%,-0.70%,7,97.40%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2010 Q4,2,7,"1,249","$1,220 ",$0.98 ,-0.30%,1214.00,$0.97 ,-0.20%,0.50%,0,2.80%,-0.70%,7,97.20%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2010 Q3,2,7,"1,249","$1,216 ",$0.97 ,-3.10%,1210.00,$0.97 ,-3.10%,0.50%,0,3.00%,-0.60%,7,97.00%,0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2010 Q2,2,7,"1,249","$1,209 ",$0.97 ,-5.10%,1203.00,$0.96 ,-5.10%,0.50%,0,3.20%,-0.40%,7,96.80%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2010 Q1,2,7,"1,249","$1,202 ",$0.96 ,-6.20%,1195.00,$0.96 ,-6.20%,0.50%,0,3.30%,-0.10%,7,96.70%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2009 Q4,2,7,"1,249","$1,223 ",$0.98 ,-5.40%,1217.00,$0.97 ,-5.40%,0.50%,0,3.50%,0.40%,7,96.50%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2009 Q3,2,7,"1,249","$1,255 ",$1.00 ,-3.60%,1248.00,$1.00 ,-3.60%,0.50%,0,3.60%,0.90%,7,96.40%,-0.90%,0,0.00%,0,0,0.00%,0,0,0.00%
2009 Q2,2,7,"1,249","$1,274 ",$1.02 ,-1.60%,1267.00,$1.01 ,-1.70%,0.50%,0,3.50%,1.20%,7,96.50%,-1.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2009 Q1,2,7,"1,249","$1,282 ",$1.03 ,-0.40%,1275.00,$1.02 ,-0.50%,0.50%,0,3.40%,1.20%,7,96.60%,-1.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2008 Q4,2,7,"1,249","$1,293 ",$1.04 ,0.20%,1287.00,$1.03 ,0.20%,0.50%,0,3.10%,0.80%,7,96.90%,-0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2008 Q3,2,7,"1,249","$1,302 ",$1.04 ,0.50%,1295.00,$1.04 ,0.50%,0.50%,0,2.70%,0.40%,7,97.30%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2008 Q2,2,7,"1,249","$1,295 ",$1.04 ,1.00%,1289.00,$1.03 ,1.00%,0.50%,0,2.40%,0.00%,7,97.60%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2008 Q1,2,7,"1,249","$1,287 ",$1.03 ,2.20%,1282.00,$1.03 ,2.30%,0.40%,0,2.20%,-0.40%,7,97.80%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q4,2,7,"1,249","$1,290 ",$1.03 ,5.60%,1285.00,$1.03 ,5.60%,0.40%,0,2.20%,-0.40%,7,97.80%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q3,2,7,"1,249","$1,296 ",$1.04 ,8.10%,1290.00,$1.03 ,8.20%,0.50%,0,2.30%,-0.40%,7,97.70%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q2,2,7,"1,249","$1,282 ",$1.03 ,8.40%,1276.00,$1.02 ,8.40%,0.50%,0,2.40%,-0.30%,7,97.60%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q1,2,7,"1,249","$1,259 ",$1.01 ,8.70%,1253.00,$1.00 ,8.80%,0.50%,0,2.50%,0.00%,7,97.50%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2006 Q4,2,7,"1,249","$1,222 ",$0.98 ,6.30%,1217.00,$0.97 ,6.30%,0.50%,0,2.70%,0.20%,7,97.30%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2006 Q3,2,7,"1,249","$1,198 ",$0.96 ,3.70%,1192.00,$0.95 ,3.70%,0.50%,0,2.70%,0.20%,7,97.30%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2006 Q2,2,7,"1,249","$1,183 ",$0.95 ,2.90%,1177.00,$0.94 ,2.90%,0.50%,0,2.60%,0.00%,7,97.40%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2006 Q1,2,7,"1,249","$1,158 ",$0.93 ,1.60%,1152.00,$0.92 ,1.60%,0.50%,0,2.50%,-0.40%,7,97.50%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2005 Q4,2,7,"1,249","$1,150 ",$0.92 ,1.00%,1145.00,$0.92 ,1.10%,0.50%,0,2.50%,-0.80%,7,97.50%,0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2005 Q3,2,7,"1,249","$1,155 ",$0.92 ,1.10%,1149.00,$0.92 ,1.20%,0.50%,0,2.50%,-1.10%,7,97.50%,1.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2005 Q2,2,7,"1,249","$1,149 ",$0.92 ,0.70%,1144.00,$0.92 ,0.80%,0.50%,0,2.60%,-1.10%,7,97.40%,1.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2005 Q1,2,7,"1,249","$1,140 ",$0.91 ,-0.40%,1134.00,$0.91 ,-0.40%,0.50%,0,2.90%,-0.50%,7,97.10%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2004 Q4,2,7,"1,249","$1,139 ",$0.91 ,-2.20%,1133.00,$0.91 ,-2.20%,0.50%,0,3.30%,0.20%,7,96.70%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2004 Q3,2,7,"1,249","$1,143 ",$0.91 ,-2.20%,1136.00,$0.91 ,-2.20%,0.60%,0,3.60%,0.90%,7,96.40%,-0.90%,0,0.00%,0,0,0.00%,0,0,0.00%
2004 Q2,2,7,"1,249","$1,141 ",$0.91 ,-2.10%,1135.00,$0.91 ,-2.20%,0.60%,0,3.70%,1.30%,7,96.30%,-1.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2004 Q1,2,7,"1,249","$1,145 ",$0.92 ,-0.80%,1138.00,$0.91 ,-0.80%,0.50%,0,3.40%,1.20%,7,96.60%,-1.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2003 Q4,2,7,"1,249","$1,164 ",$0.93 ,2.40%,1158.00,$0.93 ,2.40%,0.50%,0,3.10%,0.80%,7,96.90%,-0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2003 Q3,2,7,"1,249","$1,168 ",$0.93 ,2.40%,1162.00,$0.93 ,2.40%,0.50%,0,2.70%,0.40%,7,97.30%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2003 Q2,2,7,"1,249","$1,166 ",$0.93 ,3.30%,1160.00,$0.93 ,3.30%,0.50%,0,2.40%,0.10%,7,97.60%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2003 Q1,2,7,"1,249","$1,153 ",$0.92 ,3.90%,1148.00,$0.92 ,3.90%,0.50%,0,2.30%,0.10%,7,97.70%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2002 Q4,2,7,"1,249","$1,137 ",$0.91 ,3.40%,1131.00,$0.91 ,3.40%,0.50%,0,2.30%,0.30%,7,97.70%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2002 Q3,2,7,"1,249","$1,141 ",$0.91 ,4.30%,1135.00,$0.91 ,4.30%,0.50%,0,2.30%,0.80%,7,97.70%,-0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2002 Q2,2,7,"1,249","$1,128 ",$0.90 ,4.80%,1123.00,$0.90 ,4.60%,0.50%,0,2.30%,1.40%,7,97.70%,-1.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2002 Q1,2,7,"1,249","$1,110 ",$0.89 ,4.90%,1105.00,$0.88 ,4.80%,0.50%,0,2.20%,1.50%,7,97.80%,-1.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2001 Q4,2,7,"1,249","$1,099 ",$0.88 ,4.90%,1094.00,$0.88 ,4.80%,0.50%,0,2.00%,1.30%,7,98.00%,-1.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2001 Q3,2,7,"1,249","$1,093 ",$0.88 ,6.00%,1089.00,$0.87 ,5.90%,0.40%,0,1.50%,0.80%,7,98.50%,-0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2001 Q2,2,7,"1,249","$1,077 ",$0.86 ,6.20%,1073.00,$0.86 ,6.10%,0.40%,0,0.90%,0.20%,7,99.10%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2001 Q1,2,7,"1,249","$1,058 ",$0.85 ,6.20%,1054.00,$0.84 ,6.20%,0.40%,0,0.70%,-0.20%,7,99.30%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2000 Q4,2,7,"1,249","$1,047 ",$0.84 ,-,1043.00,$0.84 ,-,0.30%,0,0.70%,-,7,99.30%,-,0,0.00%,0,0,0.00%,0,0,0.00%
2000 Q3,2,7,"1,249","$1,032 ",$0.83 ,-,1028.00,$0.82 ,-,0.40%,0,0.70%,-,7,99.30%,-,0,0.00%,0,0,0.00%,0,0,0.00%
2000 Q2,2,7,"1,249","$1,014 ",$0.81 ,-,1011.00,$0.81 ,-,0.40%,0,0.70%,-,7,99.30%,-,0,0.00%,0,0,0.00%,0,0,0.00%
2000 Q1,2,7,"1,249",$997 ,$0.80 ,-,993.00,$0.79 ,-,0.40%,0,0.90%,-,7,99.10%,-,0,0.00%,0,0,0.00%,0,0,0.00%
