sensor_index,date_created,last_seen,latitude,longitude
109456,2021-06-18 19:05:52,2023-09-27 20:54:22,39.02429,-119.94874
109458,2021-06-18 19:05:53,2024-02-01 21:18:05,39.038322,-120.12275
109484,2021-06-18 20:02:58,2024-02-01 21:18:09,39.27086,-119.96161
109496,2021-06-18 20:03:35,2021-10-30 16:40:59,39.2566,-119.940735
109592,2021-06-18 22:57:56,2022-12-11 08:29:21,39.07552,-119.9466
109626,2021-06-18 23:00:43,2022-10-07 16:35:05,39.176857,-120.13229
109644,2021-06-18 23:01:30,2023-12-08 18:22:49,39.271103,-120.128586
109950,2021-06-22 19:17:13,2024-02-01 21:17:45,39.140633,-120.154045
110138,2021-06-22 21:16:44,2021-12-22 20:50:23,39.076054,-119.94673
110346,2021-06-23 21:40:57,2023-12-02 18:26:36,38.929432,-120.008606
110550,2021-06-24 19:40:26,2022-07-14 19:05:58,39.25605,-119.96531
110612,2021-06-24 22:19:12,2024-02-01 21:18:27,38.956844,-119.94262
110991,2021-06-26 00:01:30,2023-08-13 04:44:07,38.933235,-120.0145
110993,2021-06-26 00:06:00,2021-06-28 22:10:35,39.237225,-119.93389
111221,2021-06-28 23:28:39,2024-02-01 21:17:50,39.217545,-120.08902
111225,2021-06-28 23:33:48,2024-02-01 21:18:15,39.253307,-119.9783
111289,2021-06-29 00:10:41,2024-02-01 21:18:30,39.244736,-119.96437
111365,2021-06-29 19:53:26,2024-02-01 21:16:56,39.27805,-119.94125
111608,2021-06-29 23:42:07,2024-02-01 21:17:42,39.276653,-120.128586
111724,2021-06-30 20:50:42,2024-02-01 21:18:15,39.231438,-120.072685
111768,2021-06-30 22:47:50,2023-09-29 00:22:48,39.149036,-120.15222
111782,2021-06-30 22:57:52,2023-09-13 16:41:39,39.24505,-119.96309
111894,2021-07-01 20:00:38,2023-11-17 17:20:53,39.13866,-120.14737
112144,2021-07-01 21:23:45,2024-02-01 21:17:55,39.01082,-119.94414
112256,2021-07-02 22:10:11,2024-01-13 22:25:51,39.141224,-120.1531
112320,2021-07-03 03:58:52,2024-02-01 21:17:07,39.239494,-120.01641
112816,2021-07-06 22:11:27,2024-02-01 21:17:10,38.98289,-119.954414
112836,2021-07-06 22:37:06,2024-01-02 06:03:50,39.21292,-120.09011
112850,2021-07-06 22:37:55,2023-01-03 17:03:24,39.061207,-120.135635
112860,2021-07-06 22:38:20,2022-08-23 20:19:04,39.197887,-119.930824
112874,2021-07-06 22:40:39,2024-02-01 21:17:47,39.25222,-120.0304
112912,2021-07-06 22:46:06,2023-04-24 15:43:27,39.226303,-120.080154
113180,2021-07-08 20:03:06,2022-07-11 17:52:14,38.944168,-119.97763
113927,2021-07-12 21:50:40,2022-12-10 01:46:42,38.92739,-119.971405
114003,2021-07-12 22:18:17,2024-02-01 21:18:05,39.26224,-119.9475
114045,2021-07-13 22:02:04,2024-02-01 21:17:32,39.235023,-119.93495
114157,2021-07-14 20:04:59,2022-11-02 15:33:29,38.927338,-119.97322
114407,2021-07-14 23:49:10,2023-10-21 20:25:06,39.185654,-120.11155
114757,2021-07-16 20:54:14,2024-02-01 21:18:10,39.17611,-120.14275
114779,2021-07-16 21:16:16,2024-02-01 21:16:54,39.252098,-119.9808
114919,2021-07-16 22:25:43,2024-02-01 21:16:55,38.96619,-119.93051
114973,2021-07-16 23:15:19,2024-02-01 21:16:52,39.252224,-119.98083
114989,2021-07-16 23:17:46,2021-09-29 17:30:47,39.21208,-120.088776
115143,2021-07-19 22:46:49,2023-11-27 18:13:27,39.266132,-119.971504
115243,2021-07-19 23:08:49,2021-12-20 21:06:34,39.127434,-120.16131
115411,2021-07-20 22:08:42,2024-02-01 21:18:30,38.93212,-120.01083
115495,2021-07-20 23:06:14,2021-10-18 06:51:29,39.08766,-119.93982
115659,2021-07-21 21:56:47,2024-02-01 21:18:13,39.274975,-119.94887
115861,2021-07-21 23:25:24,2022-02-02 18:25:59,39.069286,-120.124214
115867,2021-07-21 23:25:48,2024-02-01 21:16:40,39.252007,-119.96658
116061,2021-07-22 22:48:23,2022-10-08 03:34:45,38.937458,-119.94769
116087,2021-07-23 22:10:54,2024-01-14 21:20:06,39.193813,-120.1171
116141,2021-07-23 22:15:59,2024-02-01 21:16:46,39.25384,-119.98225
116301,2021-07-26 22:38:30,2023-12-02 00:56:43,39.09663,-119.94279
116313,2021-07-26 22:40:58,2024-02-01 21:17:24,38.944473,-119.95398
116507,2021-07-27 20:55:58,2022-09-22 02:18:51,39.251514,-119.97874
116701,2021-07-27 22:57:38,2023-12-17 16:57:08,39.267216,-120.12929
117289,2021-07-30 22:11:53,2022-12-16 21:00:56,38.927254,-119.97143
117309,2021-07-30 22:16:12,2024-02-01 21:16:37,39.277863,-119.942986
117765,2021-08-03 21:34:32,2022-12-17 12:42:57,38.92793,-119.97176
118001,2021-08-04 23:21:01,2023-06-25 00:11:41,39.09375,-119.93983
118035,2021-08-04 23:34:28,2024-02-01 21:17:22,38.949875,-119.95199
118145,2021-08-05 00:08:54,2021-12-21 01:47:34,39.251347,-120.0651
118151,2021-08-05 00:23:36,2022-07-14 19:06:24,39.25605,-119.96531
118159,2021-08-05 00:24:18,2024-02-01 21:17:04,38.925987,-120.007324
118599,2021-08-06 21:41:05,2024-02-01 21:17:09,39.090164,-119.93938
119123,2021-08-09 23:22:04,2024-02-01 21:17:56,39.237,-120.07047
119621,2021-08-11 19:33:11,2024-02-01 21:17:57,39.236946,-119.933975
119747,2021-08-11 21:57:49,2022-09-23 23:36:58,39.259644,-119.96723
119761,2021-08-11 21:59:20,2024-02-01 21:17:12,39.27088,-120.12911
119865,2021-08-11 23:57:53,2024-02-01 21:17:05,39.24116,-120.04423
119871,2021-08-11 23:58:24,2023-11-23 16:23:00,39.230377,-120.07245
120039,2021-08-12 23:19:17,2022-09-27 06:35:57,39.243195,-119.95103
120043,2021-08-12 23:19:59,2023-01-14 18:49:18,39.18367,-120.114746
120115,2021-08-12 23:34:50,2024-02-01 21:18:09,39.25891,-119.98051
120129,2021-08-12 23:35:49,2024-02-01 21:18:08,39.258385,-119.97884
120243,2021-08-13 20:27:25,2022-10-12 01:19:16,39.25279,-119.96693
120249,2021-08-13 20:31:23,2021-10-13 17:17:13,39.262756,-119.96654
120277,2021-08-13 20:41:23,2024-02-01 21:17:10,39.186398,-120.090546
120579,2021-08-16 18:05:48,2024-02-01 21:16:40,39.256065,-119.98659
120755,2021-08-16 20:49:52,2024-02-01 21:16:37,39.0398,-119.94535
120815,2021-08-16 21:50:05,2021-09-27 18:15:21,39.24155,-120.00031
121033,2021-08-17 21:50:47,2024-02-01 21:17:02,39.256477,-119.92914
121157,2021-08-17 22:22:11,2023-06-21 19:30:16,39.264297,-119.98062
121461,2021-08-18 23:01:17,2024-02-01 21:17:19,39.26556,-119.94547
121601,2021-08-19 20:09:48,2024-02-01 21:17:52,39.242023,-120.01728
121961,2021-08-20 15:10:30,2021-10-01 22:51:54,39.25619,-119.98284
122043,2021-08-20 21:54:10,2024-02-01 21:18:08,39.2532,-119.97838
122059,2021-08-20 22:03:44,2024-02-01 21:18:11,39.04446,-119.94093
122537,2021-08-23 23:31:33,2024-02-01 21:18:31,39.19417,-120.09695
122561,2021-08-23 23:54:12,2022-09-21 21:09:49,39.240227,-120.01938
122971,2021-08-25 20:34:49,2024-01-27 02:44:53,38.925514,-119.98739
123537,2021-08-26 22:06:40,2024-02-01 21:18:06,39.266956,-119.94335
123953,2021-08-27 20:50:00,2024-02-01 21:18:28,38.932644,-119.97162
124061,2021-08-30 22:30:31,2022-07-07 09:52:33,39.195282,-120.113976
124107,2021-08-30 22:33:14,2024-02-01 21:18:26,38.944534,-119.973526
124753,2021-08-31 22:10:57,2024-02-01 21:17:49,38.968487,-119.92236
124925,2021-09-01 20:19:37,2024-02-01 21:18:11,38.92941,-120.02102
125491,2021-09-02 23:31:23,2023-09-02 15:46:39,38.932476,-120.01638
125681,2021-09-03 21:23:06,2024-02-01 21:17:20,39.23678,-119.933846
130349,2021-09-27 18:16:01,2024-02-01 21:18:14,39.24209,-120.00071
137646,2021-11-12 22:40:26,2022-09-26 03:22:53,39.262177,-119.9405
138176,2021-11-18 21:36:33,2024-02-01 21:18:08,39.266014,-119.97032
138240,2021-11-18 21:45:02,2024-02-01 21:17:30,38.932716,-120.01526
